通道一计数表：
ID,计数时长(s),计数
1,1,42
2,1,47
3,1,50
4,1,49
5,1,58
6,1,56
7,1,47
8,1,44
9,1,47
10,1,60
11,1,51
12,1,48
13,1,46
14,1,50
15,1,55
16,1,57
17,1,45
18,1,54
19,1,44
20,1,45
21,1,46
22,1,46
23,1,45
24,1,42
25,1,53
26,1,41
27,1,54
28,1,53
29,1,56
30,1,44
31,1,50
32,1,56
33,1,57
34,1,53
35,1,55
36,1,39
37,1,58
38,1,54
39,1,64
40,1,47
41,1,45
42,1,56
43,1,59
44,1,48
45,1,48
46,1,41
47,1,56
48,1,56
49,1,50
50,1,50
51,1,65
52,1,35
53,1,66
54,1,48
55,1,40
56,1,44
57,1,64
58,1,46
59,1,55
60,1,48
61,1,51
62,1,47
63,1,47
64,1,49
65,1,51
66,1,40
67,1,29
68,1,60
69,1,59
70,1,66
71,1,50
72,1,38
73,1,58
74,1,55
75,1,44
76,1,57
77,1,49
78,1,43
79,1,47
80,1,42
81,1,58
82,1,39
83,1,51
84,1,39
85,1,36
86,1,51
87,1,58
88,1,46
89,1,45

通道二计数表：
ID,计数时长(s),计数
1,5,238
2,5,250
3,5,255
4,5,232
5,5,216
6,5,266
7,5,252
8,5,248
9,5,279
10,5,262
11,5,226
12,5,245
13,5,270
14,5,249
15,5,242
16,5,265
17,5,250
18,5,241
