谱信息：
开始时间,20:17:20
测量时间,82.607
死时间,0.396
总计数,99047
最大值,10033
Life通道道址,Life通道计数,Start通道道址,Start通道计数,Stop通道道址,Stop通道计数
0,0,0,0,0,0
1,0,1,483,1,279
2,1,2,542,2,387
3,0,3,620,3,419
4,1,4,672,4,413
5,2,5,655,5,410
6,0,6,641,6,435
7,0,7,641,7,431
8,1,8,613,8,430
9,0,9,527,9,413
10,0,10,521,10,438
11,0,11,555,11,417
12,0,12,485,12,374
13,0,13,487,13,390
14,0,14,411,14,335
15,2,15,422,15,357
16,2,16,363,16,303
17,0,17,320,17,299
18,0,18,283,18,257
19,0,19,281,19,257
20,0,20,248,20,215
21,1,21,210,21,221
22,2,22,180,22,212
23,0,23,200,23,186
24,0,24,163,24,171
25,0,25,142,25,152
26,0,26,139,26,165
27,0,27,138,27,140
28,0,28,98,28,114
29,1,29,92,29,103
30,2,30,103,30,89
31,0,31,86,31,99
32,0,32,57,32,89
33,0,33,65,33,73
34,0,34,43,34,76
35,0,35,53,35,65
36,3,36,47,36,42
37,0,37,48,37,63
38,1,38,44,38,34
39,2,39,51,39,47
40,2,40,34,40,30
41,1,41,41,41,51
42,2,42,34,42,25
43,0,43,49,43,34
44,0,44,42,44,29
45,0,45,31,45,37
46,0,46,40,46,33
47,1,47,45,47,30
48,1,48,51,48,30
49,1,49,41,49,35
50,1,50,46,50,33
51,2,51,38,51,30
52,1,52,57,52,37
53,0,53,50,53,28
54,1,54,42,54,24
55,2,55,54,55,32
56,0,56,56,56,19
57,1,57,45,57,26
58,1,58,62,58,28
59,0,59,58,59,29
60,1,60,89,60,28
61,1,61,78,61,33
62,1,62,105,62,32
63,0,63,136,63,32
64,0,64,162,64,34
65,1,65,243,65,30
66,4,66,363,66,36
67,1,67,482,67,23
68,1,68,581,68,35
69,0,69,781,69,38
70,0,70,889,70,37
71,0,71,1035,71,46
72,4,72,1159,72,56
73,1,73,1270,73,45
74,0,74,1432,74,59
75,1,75,1586,75,90
76,0,76,1621,76,105
77,1,77,1666,77,124
78,0,78,1729,78,144
