通道二计数表：,,
ID,计数时长(s),计数
1,1.5,26
2,1.5,30
3,1.5,15
4,1.5,29
5,1.5,35
6,1.5,26
7,1.5,34
8,1.5,25
9,1.5,30
10,1.5,30
11,1.5,24
12,1.5,31
13,1.5,24
14,1.5,27
15,1.5,36
16,1.5,23
17,1.5,35
18,1.5,20
19,1.5,26
20,1.5,29
21,1.5,29
22,1.5,30
23,1.5,21
24,1.5,26
25,1.5,23
26,1.5,27
27,1.5,28
28,1.5,22658
29,1.5,22669
30,1.5,22370
31,1.5,22290
32,1.5,22156
33,1.5,22081
34,1.5,21446
35,1.5,21331
36,1.5,21005
37,1.5,20962
38,1.5,20712
39,1.5,20451
40,1.5,20344
41,1.5,20319
42,1.5,20398
43,1.5,19974
44,1.5,19788
45,1.5,19637
46,1.5,19456
47,1.5,19274
48,1.5,19341
49,1.5,18727
50,1.5,18818
51,1.5,18374
52,1.5,18664
53,1.5,18406
54,1.5,17822
55,1.5,17857
56,1.5,17897
57,1.5,17550
58,1.5,17444
59,1.5,17347
60,1.5,17333
61,1.5,16869
62,1.5,17231
63,1.5,16733
64,1.5,16577
65,1.5,16618
66,1.5,16391
67,1.5,16204
68,1.5,16208
69,1.5,16200
70,1.5,15848
71,1.5,15838
72,1.5,15971
73,1.5,15425
74,1.5,15335
75,1.5,15542
76,1.5,15381
77,1.5,15023
78,1.5,14830
79,1.5,14849
80,1.5,15122
81,1.5,14814
82,1.5,14503
83,1.5,14710
84,1.5,14461
85,1.5,14326
86,1.5,14093
87,1.5,14445
88,1.5,13979
89,1.5,13961
90,1.5,13651
91,1.5,13848
92,1.5,13828
93,1.5,13684
94,1.5,13654
95,1.5,13514
96,1.5,13470
97,1.5,13093
98,1.5,13190
99,1.5,13043
100,1.5,13169
101,1.5,12970
102,1.5,13025
103,1.5,12795
104,1.5,12808
105,1.5,12632
106,1.5,12589
107,1.5,12666
108,1.5,12411
109,1.5,12417
110,1.5,12127
111,1.5,12223
112,1.5,12113
113,1.5,12064
114,1.5,12274
115,1.5,12006
116,1.5,12010
117,1.5,11949
118,1.5,11785
119,1.5,11679
120,1.5,11832
121,1.5,11741
122,1.5,11608
123,1.5,11608
124,1.5,11590
125,1.5,11363
126,1.5,11329
127,1.5,11302
128,1.5,11223
129,1.5,11229
130,1.5,11051
131,1.5,11093
132,1.5,11031
133,1.5,10874
134,1.5,10832
135,1.5,10992
136,1.5,10804
137,1.5,10889
138,1.5,10690
139,1.5,10669
140,1.5,10532
141,1.5,10629
142,1.5,10352
143,1.5,10365
144,1.5,10516
145,1.5,10457
146,1.5,10210
147,1.5,10347
148,1.5,10332
149,1.5,10253
150,1.5,10261
151,1.5,10102
152,1.5,10138
153,1.5,10120
154,1.5,10052
155,1.5,10143
156,1.5,10235
157,1.5,9738
158,1.5,10018
159,1.5,9908
160,1.5,9796
161,1.5,9857
162,1.5,9952
163,1.5,9813
164,1.5,9727
165,1.5,9562
166,1.5,9884
167,1.5,9573
168,1.5,9531
169,1.5,9644
170,1.5,9532
171,1.5,9498
172,1.5,9494
173,1.5,9614
174,1.5,9455
175,1.5,9283
176,1.5,9458
177,1.5,9370
178,1.5,9513
179,1.5,9300
180,1.5,9393
181,1.5,9337
182,1.5,9142
183,1.5,9229
184,1.5,9164
185,1.5,9102
186,1.5,9274
187,1.5,9234
188,1.5,8945
189,1.5,9201
190,1.5,29
191,1.5,42
192,1.5,30
193,1.5,27
194,1.5,33
195,1.5,35
196,1.5,30
197,1.5,32
198,1.5,25
199,1.5,30
200,1.5,23
201,1.5,33
202,1.5,34
203,1.5,30
204,1.5,35
205,1.5,33
206,1.5,30
207,1.5,31
208,1.5,23
209,1.5,36
210,1.5,31
211,1.5,25
212,1.5,28
213,1.5,25
214,1.5,29
215,1.5,32
216,1.5,28
217,1.5,32
218,1.5,22
