通道一计数表：,,
ID,计数时长(s),计数
1,1.5,26
2,1.5,26
3,1.5,34
4,1.5,30
5,1.5,28
6,1.5,27
7,1.5,36
8,1.5,28
9,1.5,35
10,1.5,30
11,1.5,33
12,1.5,29
13,1.5,21
14,1.5,32
15,1.5,22
16,1.5,27
17,1.5,27
18,1.5,42
19,1.5,30
20,1.5,24
21,1.5,40
22,1.5,38
23,1.5,24
24,1.5,38
25,1.5,20347
26,1.5,19989
27,1.5,19883
28,1.5,19544
29,1.5,19705
30,1.5,19735
31,1.5,19346
32,1.5,19144
33,1.5,19123
34,1.5,19043
35,1.5,19053
36,1.5,18658
37,1.5,18367
38,1.5,18123
39,1.5,18313
40,1.5,18034
41,1.5,18141
42,1.5,17952
43,1.5,17771
44,1.5,17514
45,1.5,17616
46,1.5,17472
47,1.5,17464
48,1.5,17322
49,1.5,17294
50,1.5,16835
51,1.5,17020
52,1.5,16956
53,1.5,16734
54,1.5,16543
55,1.5,16708
56,1.5,16531
57,1.5,16276
58,1.5,16233
59,1.5,16061
60,1.5,16219
61,1.5,15956
62,1.5,16035
63,1.5,15854
64,1.5,15876
65,1.5,15632
66,1.5,15579
67,1.5,15522
68,1.5,15430
69,1.5,15470
70,1.5,15212
71,1.5,15071
72,1.5,15012
73,1.5,15022
74,1.5,14948
75,1.5,14595
76,1.5,14846
77,1.5,14632
78,1.5,14700
79,1.5,14427
80,1.5,14574
81,1.5,14216
82,1.5,14519
83,1.5,14445
84,1.5,14225
85,1.5,14267
86,1.5,13985
87,1.5,13825
88,1.5,14064
89,1.5,14020
90,1.5,13670
91,1.5,13705
92,1.5,13637
93,1.5,13684
94,1.5,13809
95,1.5,13784
96,1.5,13492
97,1.5,13447
98,1.5,13417
99,1.5,13285
100,1.5,13286
101,1.5,13030
102,1.5,13142
103,1.5,13388
104,1.5,13171
105,1.5,13150
106,1.5,12957
107,1.5,12893
108,1.5,12999
109,1.5,12912
110,1.5,12848
111,1.5,12691
112,1.5,12478
113,1.5,12747
114,1.5,12483
115,1.5,12336
116,1.5,12404
117,1.5,12364
118,1.5,12546
119,1.5,12387
120,1.5,12432
121,1.5,12467
122,1.5,12412
123,1.5,12197
124,1.5,12212
125,1.5,12219
126,1.5,12320
127,1.5,12197
128,1.5,12079
129,1.5,11899
130,1.5,12148
131,1.5,11940
132,1.5,12113
133,1.5,11853
134,1.5,11712
135,1.5,11765
136,1.5,11818
137,1.5,11868
138,1.5,11847
139,1.5,11534
140,1.5,11594
141,1.5,11950
142,1.5,11518
143,1.5,11565
144,1.5,11455
145,1.5,11656
146,1.5,11579
147,1.5,11326
148,1.5,11537
149,1.5,11450
150,1.5,11516
151,1.5,11312
152,1.5,11424
153,1.5,11446
154,1.5,11396
155,1.5,10936
156,1.5,11117
157,1.5,11294
158,1.5,11234
159,1.5,11232
160,1.5,11232
161,1.5,11179
162,1.5,11115
163,1.5,10969
164,1.5,10801
165,1.5,10984
166,1.5,10971
167,1.5,11112
168,1.5,10885
169,1.5,10787
170,1.5,10808
171,1.5,10749
172,1.5,10761
173,1.5,10845
174,1.5,10867
175,1.5,10835
176,1.5,10574
177,1.5,10784
178,1.5,10585
179,1.5,10766
180,1.5,10723
181,1.5,10715
182,1.5,10606
183,1.5,10633
184,1.5,10502
185,1.5,10657
186,1.5,10619
187,1.5,10808
188,1.5,10618
189,1.5,10574
190,1.5,10696
191,1.5,10558
192,1.5,10455
193,1.5,10504
194,1.5,10483
195,1.5,10523
196,1.5,10579
197,1.5,10601
198,1.5,10484
199,1.5,10365
200,1.5,10414
201,1.5,10298
202,1.5,10447
203,1.5,10446
204,1.5,10282
205,1.5,10171
206,1.5,10356
207,1.5,10287
208,1.5,10373
209,1.5,10201
210,1.5,10209
211,1.5,10289
212,1.5,10017
213,1.5,10208
214,1.5,10207
215,1.5,10298
216,1.5,10241
217,1.5,10187
218,1.5,10162
219,1.5,10078
220,1.5,10136
221,1.5,10183
222,1.5,10288
223,1.5,38
224,1.5,25
225,1.5,20
226,1.5,26
227,1.5,30
228,1.5,30
229,1.5,28
230,1.5,33
231,1.5,34
232,1.5,23
233,1.5,27
234,1.5,32
235,1.5,38
236,1.5,26
237,1.5,28
238,1.5,41
239,1.5,21
240,1.5,24
241,1.5,30
242,1.5,27
243,1.5,32
244,1.5,30
245,1.5,32
246,1.5,40
247,1.5,27
248,1.5,27
249,1.5,21
250,1.5,26
251,1.5,41
252,1.5,27
253,1.5,31
254,1.5,41
255,1.5,35
256,1.5,29
257,1.5,31
258,1.5,32
259,1.5,32
260,1.5,24
261,1.5,23
262,1.5,32
263,1.5,34
