通道一计数表：,,
ID,计数时长(s),计数
1,1.8,41
2,1.8,38
3,1.8,38
4,1.8,43
5,1.8,36
6,1.8,32
7,1.8,46
8,1.8,27
9,1.8,39
10,1.8,28
11,1.8,42
12,1.8,26
13,1.8,36
14,1.8,44
15,1.8,36
16,1.8,36
17,1.8,38
18,1.8,37
19,1.8,41
20,1.8,30
21,1.8,45
22,1.8,38
23,1.8,50
24,1.8,30
25,1.8,29
26,1.8,32
27,1.8,29
28,1.8,32
29,1.8,24737
30,1.8,24402
31,1.8,24429
32,1.8,24265
33,1.8,23791
34,1.8,23795
35,1.8,23443
36,1.8,23196
37,1.8,23305
38,1.8,23372
39,1.8,22738
40,1.8,22566
41,1.8,22435
42,1.8,22361
43,1.8,22095
44,1.8,22271
45,1.8,21743
46,1.8,21703
47,1.8,21715
48,1.8,21099
49,1.8,21390
50,1.8,21101
51,1.8,21185
52,1.8,21058
53,1.8,20961
54,1.8,20563
55,1.8,20398
56,1.8,20374
57,1.8,20193
58,1.8,20226
59,1.8,20169
60,1.8,20004
61,1.8,19943
62,1.8,19658
63,1.8,19589
64,1.8,19394
65,1.8,19390
66,1.8,19270
67,1.8,19158
68,1.8,19155
69,1.8,19130
70,1.8,19010
71,1.8,18969
72,1.8,18813
73,1.8,18695
74,1.8,18419
75,1.8,18570
76,1.8,18466
77,1.8,18239
78,1.8,18044
79,1.8,18236
80,1.8,17883
81,1.8,18070
82,1.8,18197
83,1.8,17885
84,1.8,17734
85,1.8,17524
86,1.8,17887
87,1.8,17618
88,1.8,17515
89,1.8,17223
90,1.8,17339
91,1.8,17404
92,1.8,17183
93,1.8,17036
94,1.8,16912
95,1.8,17233
96,1.8,16862
97,1.8,16823
98,1.8,16648
99,1.8,16656
100,1.8,16356
101,1.8,16714
102,1.8,16679
103,1.8,16530
104,1.8,16237
105,1.8,16320
106,1.8,16359
107,1.8,16417
108,1.8,16246
109,1.8,16364
110,1.8,15993
111,1.8,16135
112,1.8,15996
113,1.8,15833
114,1.8,16033
115,1.8,16082
116,1.8,15748
117,1.8,15558
118,1.8,15838
119,1.8,15807
120,1.8,15617
121,1.8,15501
122,1.8,15547
123,1.8,15323
124,1.8,15457
125,1.8,15435
126,1.8,15480
127,1.8,15562
128,1.8,15371
129,1.8,15308
130,1.8,15304
131,1.8,15077
132,1.8,15226
133,1.8,14943
134,1.8,15234
135,1.8,15215
136,1.8,15164
137,1.8,15102
138,1.8,15112
139,1.8,14972
140,1.8,15048
141,1.8,15137
142,1.8,15023
143,1.8,15008
144,1.8,14828
145,1.8,14798
146,1.8,14657
147,1.8,14765
148,1.8,14593
149,1.8,14622
150,1.8,14501
151,1.8,14386
152,1.8,14776
153,1.8,14522
154,1.8,14268
155,1.8,14505
156,1.8,14570
157,1.8,14533
158,1.8,14531
159,1.8,14458
160,1.8,14223
161,1.8,14034
162,1.8,14517
163,1.8,14305
164,1.8,14337
165,1.8,14357
166,1.8,14247
167,1.8,14300
168,1.8,14014
169,1.8,14012
170,1.8,14198
171,1.8,14137
172,1.8,14082
173,1.8,14202
174,1.8,13816
175,1.8,14190
176,1.8,14242
177,1.8,14014
178,1.8,14100
179,1.8,14064
180,1.8,14091
181,1.8,13853
182,1.8,13949
183,1.8,13942
184,1.8,13899
185,1.8,13825
186,1.8,13926
187,1.8,13764
188,1.8,13743
189,1.8,14064
190,1.8,13903
191,1.8,13591
192,1.8,13555
193,1.8,13611
194,1.8,13637
195,1.8,13615
196,1.8,13641
197,1.8,13650
198,1.8,13776
199,1.8,13818
200,1.8,13665
201,1.8,13281
202,1.8,13255
203,1.8,13587
204,1.8,13540
205,1.8,13530
206,1.8,13364
207,1.8,13469
208,1.8,13552
209,1.8,13189
210,1.8,13354
211,1.8,13517
212,1.8,13494
213,1.8,13505
214,1.8,13511
215,1.8,13461
216,1.8,13506
217,1.8,13292
218,1.8,13431
219,1.8,13379
220,1.8,13606
221,1.8,13601
222,1.8,13431
223,1.8,13369
224,1.8,13381
225,1.8,13211
226,1.8,13222
227,1.8,13267
228,1.8,12907
229,1.8,13376
230,1.8,13410
231,1.8,13295
232,1.8,13198
233,1.8,13284
234,1.8,13163
235,1.8,13233
236,1.8,13239
237,1.8,13238
238,1.8,13208
239,1.8,13203
240,1.8,13217
241,1.8,13224
242,1.8,13340
243,1.8,13090
244,1.8,13222
245,1.8,13080
246,1.8,13205
247,1.8,13052
248,1.8,13217
249,1.8,12970
250,1.8,13040
251,1.8,12959
252,1.8,13059
253,1.8,13129
254,1.8,12803
255,1.8,13045
256,1.8,13098
257,1.8,12952
258,1.8,12915
259,1.8,13066
260,1.8,12923
261,1.8,13097
262,1.8,12893
263,1.8,13002
264,1.8,12795
