通道二计数表：,,
ID,计数时长(s),计数
1,2.3,41
2,2.3,35
3,2.3,30
4,2.3,46
5,2.3,45
6,2.3,42
7,2.3,47
8,2.3,40
9,2.3,37
10,2.3,40
11,2.3,41
12,2.3,46
13,2.3,41
14,2.3,48
15,2.3,39
16,2.3,47
17,2.3,52
18,2.3,43
19,2.3,45
20,2.3,50
21,2.3,60
22,2.3,52
23,2.3,31441
24,2.3,30982
25,2.3,30683
26,2.3,30434
27,2.3,30184
28,2.3,29685
29,2.3,29447
30,2.3,29316
31,2.3,29236
32,2.3,28759
33,2.3,28433
34,2.3,28470
35,2.3,28049
36,2.3,27873
37,2.3,27791
38,2.3,27301
39,2.3,27449
40,2.3,26991
41,2.3,26624
42,2.3,26387
43,2.3,26756
44,2.3,25943
45,2.3,25808
46,2.3,25723
47,2.3,25842
48,2.3,25398
49,2.3,25422
50,2.3,24960
51,2.3,25019
52,2.3,24411
53,2.3,24485
54,2.3,24255
55,2.3,24220
56,2.3,24132
57,2.3,23994
58,2.3,23540
59,2.3,23534
60,2.3,23432
61,2.3,23096
62,2.3,23410
63,2.3,23136
64,2.3,22992
65,2.3,23022
66,2.3,22588
67,2.3,22474
68,2.3,22210
69,2.3,22387
70,2.3,22191
71,2.3,22001
72,2.3,22047
73,2.3,21943
74,2.3,21737
75,2.3,21792
76,2.3,21660
77,2.3,21394
78,2.3,21104
79,2.3,21145
80,2.3,21209
81,2.3,21102
82,2.3,21060
83,2.3,20937
84,2.3,20519
85,2.3,20516
86,2.3,20640
87,2.3,20357
88,2.3,20577
89,2.3,20397
90,2.3,20397
91,2.3,20481
92,2.3,20311
93,2.3,20185
94,2.3,19974
95,2.3,19895
96,2.3,19807
97,2.3,19654
98,2.3,19787
99,2.3,19741
100,2.3,19658
101,2.3,19694
102,2.3,19594
103,2.3,19379
104,2.3,19584
105,2.3,19468
106,2.3,19223
107,2.3,19171
108,2.3,19294
109,2.3,19260
110,2.3,19123
111,2.3,19254
112,2.3,18967
113,2.3,18849
