谱信息：
开始时间,20:01:00
测量时间,168.079
死时间,12.616
总计数,3154083
通道1道址,通道1计数,通道2道址,通道2计数
0,6128,0,6082
1,6309,1,6381
2,6368,2,6297
3,6427,3,6423
4,6440,4,6254
5,6480,5,6387
6,6442,6,6547
7,6416,7,6286
8,6408,8,6205
9,6453,9,6412
10,6323,10,6471
11,6341,11,6194
12,6230,12,6478
13,6312,13,6321
14,6346,14,6366
15,6367,15,6226
16,6311,16,6223
17,6568,17,6316
18,6486,18,6412
19,6339,19,6348
20,6315,20,6479
21,6469,21,6365
22,6385,22,6310
23,6234,23,6316
24,6391,24,6409
25,6267,25,6372
26,6295,26,6277
27,6225,27,6407
28,6265,28,6278
29,6164,29,6354
30,6173,30,6218
31,6173,31,6287
32,6358,32,6404
33,6281,33,6232
34,6336,34,6390
35,6141,35,6147
36,6335,36,6347
37,6311,37,6242
38,6191,38,6030
39,6322,39,6192
40,6259,40,6081
41,6123,41,6113
42,6096,42,6202
43,6155,43,6202
44,6071,44,6157
45,5995,45,6080
46,5926,46,5868
47,5967,47,5882
48,5708,48,5839
49,5661,49,5626
50,5512,50,5538
51,5362,51,5464
52,5339,52,5393
53,5048,53,5036
54,4945,54,4990
55,4952,55,4885
56,4726,56,4814
57,4967,57,4985
58,5086,58,4970
59,5192,59,5291
60,5401,60,5379
61,5509,61,5641
62,5776,62,5631
63,5703,63,5686
64,5762,64,5826
65,5857,65,6016
66,5953,66,6001
67,6066,67,5970
68,6076,68,5961
69,6176,69,6125
70,6185,70,6157
71,6161,71,6132
72,6175,72,6254
73,6338,73,6364
74,6196,74,6223
75,6339,75,6194
76,6394,76,6340
77,6266,77,6261
78,6305,78,6309
79,6388,79,6322
80,6178,80,6123
81,6256,81,6395
82,6186,82,6205
83,6238,83,6405
84,6233,84,6358
85,6240,85,6301
86,6327,86,6305
87,6385,87,6290
88,6239,88,6256
89,6374,89,6380
90,6286,90,6217
91,6365,91,6317
92,6490,92,6457
93,6183,93,6289
94,6488,94,6309
95,6361,95,6283
96,6407,96,6431
97,6320,97,6271
98,6341,98,6553
99,6351,99,6433
100,6454,100,6451
101,6296,101,6209
102,6374,102,6259
103,6327,103,6246
104,6462,104,6424
105,6409,105,6299
106,6360,106,6359
107,6293,107,6295
108,6525,108,6220
109,6256,109,6322
110,6357,110,6453
111,6307,111,6300
112,6477,112,6298
113,6529,113,6272
114,6326,114,6296
115,6280,115,6292
116,6320,116,6428
117,6210,117,6180
118,6420,118,6321
119,6399,119,6142
120,6263,120,6327
121,6186,121,6293
122,6191,122,6267
123,6230,123,6194
124,6362,124,6302
125,6224,125,6285
126,6124,126,6120
127,6174,127,6129
128,6044,128,6165
129,5931,129,5845
130,5937,130,6135
131,5846,131,5772
132,5698,132,5687
133,5683,133,5714
134,5555,134,5425
135,5317,135,5280
136,5172,136,5104
137,5111,137,5085
138,5107,138,5068
139,5185,139,5225
140,5283,140,5308
141,5557,141,5688
142,5610,142,5736
143,5841,143,5846
144,5948,144,5906
145,5932,145,5973
146,6153,146,6052
147,5991,147,6202
148,6182,148,6067
149,6244,149,5985
150,6203,150,6221
151,6207,151,6318
152,6274,152,6311
153,6378,153,6238
154,6287,154,6253
155,6348,155,6342
156,6306,156,6106
157,6226,157,6263
158,6371,158,6200
159,6282,159,6369
160,6287,160,6215
161,6294,161,6277
162,6350,162,6306
163,6352,163,6316
164,6318,164,6486
165,6428,165,6421
166,6362,166,6411
167,6339,167,6276
168,6358,168,6314
169,6415,169,6326
170,6382,170,6498
171,6187,171,6462
172,6409,172,6130
173,6442,173,6329
174,6483,174,6263
175,6463,175,6335
176,6355,176,6239
177,6241,177,6414
178,6386,178,6363
179,6370,179,6280
180,6323,180,6414
181,6371,181,6409
182,6387,182,6422
183,6319,183,6475
184,6404,184,6419
185,6385,185,6401
186,6481,186,6374
187,6366,187,6397
188,6259,188,6234
189,6315,189,6321
190,6369,190,6315
191,6313,191,6255
192,6374,192,6420
193,6303,193,6306
194,6244,194,6443
195,6395,195,6166
196,6292,196,6322
197,6463,197,6389
198,6246,198,6179
199,6308,199,6356
200,6343,200,6452
201,6229,201,6289
202,6452,202,6252
203,6490,203,6378
204,6398,204,6299
205,6353,205,6285
206,6148,206,6281
207,6216,207,6243
208,6243,208,6169
209,6171,209,6219
210,6187,210,6192
211,6240,211,6241
212,6224,212,6344
213,6030,213,5967
214,5986,214,6154
215,5922,215,5920
216,5644,216,5993
217,5798,217,5662
218,5669,218,5659
219,5522,219,5594
220,5590,220,5569
221,5790,221,5687
222,5784,222,5840
223,5945,223,5904
224,6048,224,6042
225,6138,225,6060
226,6186,226,6062
227,6184,227,6250
228,6215,228,6171
229,6314,229,6186
230,6311,230,6315
231,6104,231,6206
232,6368,232,6356
233,6158,233,6318
234,6391,234,6293
235,6285,235,6218
236,6296,236,6377
237,6375,237,6285
238,6145,238,6331
239,6403,239,6203
240,6384,240,6339
241,6356,241,6453
242,6316,242,6358
243,6355,243,6399
244,6322,244,6279
245,6239,245,6306
246,6348,246,6260
247,6384,247,6375
248,6495,248,6459
249,6453,249,6388
