通道一计数表：,,,通道二计数表：,,
ID,计数时长(s),计数,ID,计数时长(s),计数
1,0.1,10,1,0.4,25
2,0.1,6,2,0.4,18
3,0.1,3,3,0.4,31
4,0.1,8,4,0.4,24
5,0.1,7,5,0.4,19
6,0.1,6,6,0.4,27
7,0.1,11,7,0.4,18
8,0.1,3,8,0.4,24
9,0.1,10,9,0.4,24
10,0.1,5,10,0.4,22
11,0.1,3,11,0.4,19
12,0.1,8,12,0.4,24
13,0.1,1,13,0.4,22
14,0.1,6,14,0.4,26
15,0.1,1,15,0.4,23
16,0.1,7,16,0.4,18
17,0.1,1,17,0.4,21
18,0.1,9,18,0.4,21
19,0.1,2,19,0.4,26
20,0.1,6,20,0.4,19
21,0.1,4,21,0.4,22
22,0.1,6,22,0.4,18
23,0.1,7,23,0.4,21
24,0.1,5,24,0.4,18
25,0.1,6,25,0.4,19
26,0.1,5,26,0.4,28
27,0.1,5,27,0.4,16
28,0.1,6,28,0.4,21
29,0.1,6,29,0.4,25
30,0.1,6,30,0.4,25
31,0.1,4,31,0.4,21
32,0.1,6,32,0.4,23
33,0.1,3,33,0.4,20
34,0.1,6,34,0.4,23
35,0.1,3,35,0.4,25
36,0.1,4,36,0.4,23
37,0.1,7,37,0.4,16
38,0.1,4,38,0.4,17
39,0.1,8,39,0.4,21
40,0.1,5,40,0.4,18
41,0.1,5,41,0.4,11
42,0.1,5,42,0.4,19
43,0.1,5,43,0.4,26
44,0.1,5,44,0.4,26
45,0.1,5,45,0.4,20
46,0.1,5,46,0.4,27
47,0.1,1,47,0.4,23
48,0.1,4,48,0.4,24
49,0.1,3,49,0.4,23
50,0.1,6,50,0.4,24
51,0.1,3,51,0.4,31
52,0.1,4,52,0.4,17
53,0.1,3,53,0.4,16
54,0.1,1,54,0.4,25
55,0.1,3,55,0.4,21
56,0.1,4,56,0.4,12
57,0.1,7,57,0.4,20
58,0.1,5,58,0.4,23
59,0.1,10,59,0.4,23
60,0.1,8,60,0.4,20
61,0.1,6,61,0.4,24
62,0.1,4,62,0.4,25
63,0.1,3,63,0.4,20
64,0.1,5,64,0.4,26
65,0.1,1,65,0.4,18
66,0.1,5,66,0.4,25
67,0.1,5,67,0.4,18
68,0.1,1,68,0.4,23
69,0.1,5,69,0.4,23
70,0.1,4,70,0.4,20
71,0.1,4,71,0.4,23
72,0.1,4,72,0.4,24
73,0.1,8,73,0.4,17
74,0.1,3,74,0.4,22
75,0.1,5,75,0.4,14
76,0.1,4,76,0.4,31
77,0.1,4,77,0.4,17
78,0.1,4,78,0.4,29
79,0.1,6,79,0.4,27
80,0.1,1,80,0.4,22
81,0.1,7,81,0.4,19
82,0.1,6,82,0.4,24
83,0.1,4,83,0.4,21
84,0.1,1,84,0.4,17
85,0.1,2,85,0.4,14
86,0.1,2,86,0.4,15
