μ子数据
开始时间,19:34:47
测量时间,79.4
μ子衰变数,1411
μ子通量数,102
日期时间,μ子寿命
20221205 19:34:47,4.99
20221205 19:34:47,0.65
20221205 19:34:47,1.16
20221205 19:34:47,1.65
20221205 19:34:47,0.38
20221205 19:34:47,1.16
20221205 19:34:47,1.33
20221205 19:34:47,1.93
20221205 19:34:47,1.21
20221205 19:34:47,0.28
20221205 19:34:47,0.14
20221205 19:34:47,1.65
20221205 19:34:47,1.12
20221205 19:34:48,3.13
20221205 19:34:48,5.84
20221205 19:34:48,0.9
20221205 19:34:48,4.44
20221205 19:34:48,2.54
20221205 19:34:48,0.12
20221205 19:34:48,2.04
20221205 19:34:48,0.89
20221205 19:34:48,1.27
20221205 19:34:48,5
20221205 19:34:48,1.03
20221205 19:34:48,2.12
20221205 19:34:48,2.2
20221205 19:34:48,2.23
20221205 19:34:48,1.86
20221205 19:34:48,2.66
20221205 19:34:48,1.73
20221205 19:34:48,1.74
20221205 19:34:48,1.42
20221205 19:34:48,1.16
20221205 19:34:48,0.43
20221205 19:34:49,0.24
20221205 19:34:49,2.47
20221205 19:34:49,2.26
20221205 19:34:49,0.4
20221205 19:34:49,1.33
20221205 19:34:49,0.36
20221205 19:34:49,1.81
20221205 19:34:49,1.22
20221205 19:34:49,0.84
20221205 19:34:49,3.69
20221205 19:34:49,0.17
20221205 19:34:49,3.88
20221205 19:34:49,2.19
20221205 19:34:49,4.79
20221205 19:34:49,4.19
20221205 19:34:49,1.18
20221205 19:34:49,0.51
20221205 19:34:49,0.85
20221205 19:34:49,0.85
20221205 19:34:49,2.43
20221205 19:34:49,0.25
20221205 19:34:49,6.44
20221205 19:34:49,1.71
20221205 19:34:49,0.19
20221205 19:34:49,3.4
20221205 19:34:50,5.8
20221205 19:34:50,4.64
20221205 19:34:50,6.07
20221205 19:34:50,2.36
20221205 19:34:50,2.74
20221205 19:34:50,1.06
20221205 19:34:50,0.17
20221205 19:34:50,0.48
20221205 19:34:50,0.51
20221205 19:34:50,6.64
20221205 19:34:50,4.32
20221205 19:34:50,0.87
20221205 19:34:50,3.53
20221205 19:34:50,1.57
20221205 19:34:50,1.72
20221205 19:34:50,0.65
20221205 19:34:50,2.01
20221205 19:34:50,5.39
20221205 19:34:50,2.04
20221205 19:34:50,5.53
20221205 19:34:50,1.35
20221205 19:34:50,1.82
20221205 19:34:50,0.69
20221205 19:34:50,3.98
20221205 19:34:50,7.29
20221205 19:34:50,3.81
20221205 19:34:50,2.45
20221205 19:34:51,1.82
20221205 19:34:51,0.92
20221205 19:34:51,2.54
20221205 19:34:51,1.45
20221205 19:34:51,0.44
20221205 19:34:51,3.42
20221205 19:34:51,0.37
20221205 19:34:51,1.68
20221205 19:34:51,4.28
20221205 19:34:51,1.81
20221205 19:34:51,5.33
20221205 19:34:51,2.26
20221205 19:34:51,0.98
20221205 19:34:51,7.25
20221205 19:34:51,0.94
20221205 19:34:51,1.8
20221205 19:34:51,0.65
20221205 19:34:51,1.77
20221205 19:34:52,1.66
20221205 19:34:52,0.1
20221205 19:34:52,2.01
20221205 19:34:52,3.02
20221205 19:34:52,0.62
20221205 19:34:52,0.28
20221205 19:34:52,2.36
20221205 19:34:52,0.33
20221205 19:34:52,5.17
20221205 19:34:52,0.94
20221205 19:34:52,2.36
20221205 19:34:52,1.84
20221205 19:34:52,1
20221205 19:34:53,5.51
20221205 19:34:53,1.85
20221205 19:34:53,1.45
20221205 19:34:53,0.58
20221205 19:34:53,0.55
20221205 19:34:53,0.14
20221205 19:34:53,1.17
20221205 19:34:53,0.7
20221205 19:34:53,1.3
20221205 19:34:53,2.06
20221205 19:34:53,2.29
20221205 19:34:53,1.36
20221205 19:34:53,2.66
20221205 19:34:53,10.69
20221205 19:34:53,0.24
20221205 19:34:53,1.3
20221205 19:34:53,0.92
20221205 19:34:53,2.03
20221205 19:34:53,4.05
20221205 19:34:53,10.66
20221205 19:34:54,2.89
20221205 19:34:54,4.27
20221205 19:34:54,0.91
20221205 19:34:54,0.65
20221205 19:34:54,0.75
20221205 19:34:54,0.55
20221205 19:34:54,4.77
20221205 19:34:54,0.27
20221205 19:34:54,4.89
20221205 19:34:54,3.79
20221205 19:34:54,0.44
20221205 19:34:54,3.59
20221205 19:34:54,2.43
20221205 19:34:54,3.09
20221205 19:34:55,5.5
20221205 19:34:55,1.03
20221205 19:34:55,5.66
20221205 19:34:55,3.26
20221205 19:34:55,0.62
20221205 19:34:55,3.06
20221205 19:34:55,3.05
20221205 19:34:55,2.23
20221205 19:34:55,0.52
20221205 19:34:56,4.53
20221205 19:34:56,0.35
20221205 19:34:56,1.37
20221205 19:34:56,1.04
20221205 19:34:56,2.69
20221205 19:34:56,3.1
20221205 19:34:56,0.88
20221205 19:34:56,0.53
20221205 19:34:56,0.94
20221205 19:34:56,1.26
20221205 19:34:56,1.06
20221205 19:34:56,1.61
20221205 19:34:56,0.42
20221205 19:34:56,0.1
20221205 19:34:56,1.96
20221205 19:34:56,0.86
20221205 19:34:56,1.91
20221205 19:34:56,0.68
20221205 19:34:56,9.54
20221205 19:34:56,0.27
20221205 19:34:56,4.31
20221205 19:34:56,1.39
20221205 19:34:56,1.83
20221205 19:34:57,0.69
20221205 19:34:57,0.83
20221205 19:34:57,0.84
20221205 19:34:57,0.6
20221205 19:34:57,3.95
20221205 19:34:57,0.81
20221205 19:34:57,0.12
20221205 19:34:57,0.13
20221205 19:34:57,0.46
20221205 19:34:57,2.3
20221205 19:34:57,12.17
20221205 19:34:57,4.81
20221205 19:34:57,0.14
20221205 19:34:57,0.47
20221205 19:34:57,0.49
20221205 19:34:57,3.27
20221205 19:34:57,0.89
20221205 19:34:57,1.1
20221205 19:34:57,0.38
20221205 19:34:58,0.2
20221205 19:34:58,3.54
20221205 19:34:58,0.1
20221205 19:34:58,2.14
20221205 19:34:58,5.03
20221205 19:34:58,0.8
20221205 19:34:58,13.35
20221205 19:34:58,1.3
20221205 19:34:58,1.02
20221205 19:34:58,0.95
20221205 19:34:58,2.31
20221205 19:34:58,11.09
20221205 19:34:58,2.87
20221205 19:34:58,1.07
20221205 19:34:58,1.74
20221205 19:34:58,0.72
20221205 19:34:58,3.16
20221205 19:34:58,0.5
20221205 19:34:58,0.12
20221205 19:34:58,3.93
20221205 19:34:58,0.48
20221205 19:34:59,3.07
20221205 19:34:59,0.98
20221205 19:34:59,6.58
20221205 19:34:59,1.56
20221205 19:34:59,1.96
20221205 19:34:59,0.6
20221205 19:34:59,1.68
20221205 19:34:59,3.06
20221205 19:34:59,0.48
20221205 19:34:59,1.84
20221205 19:34:59,4.07
20221205 19:34:59,1.11
20221205 19:34:59,0.14
20221205 19:34:59,0.53
