μ子数据
开始时间,19:22:03
测量时间,592.6
μ子衰变数,10330
μ子通量数,1718
日期时间,μ子寿命
20221205 19:22:03,1.62
20221205 19:22:03,2
20221205 19:22:03,1.63
20221205 19:22:03,1.17
20221205 19:22:03,1.41
20221205 19:22:03,2.01
20221205 19:22:03,0.1
20221205 19:22:03,2.97
20221205 19:22:04,0.16
20221205 19:22:04,0.36
20221205 19:22:04,0.48
20221205 19:22:04,3.42
20221205 19:22:04,0.92
20221205 19:22:04,0.4
20221205 19:22:04,4.98
20221205 19:22:04,1.15
20221205 19:22:04,0.5
20221205 19:22:04,1.99
20221205 19:22:04,0.67
20221205 19:22:04,3.79
20221205 19:22:04,0.8
20221205 19:22:04,0.92
20221205 19:22:04,1.79
20221205 19:22:04,1
20221205 19:22:04,1.39
20221205 19:22:05,0.95
20221205 19:22:05,2.24
20221205 19:22:05,0.93
20221205 19:22:05,1.76
20221205 19:22:05,3.03
20221205 19:22:05,0.89
20221205 19:22:05,1.22
20221205 19:22:05,0.95
20221205 19:22:05,4.44
20221205 19:22:05,1.64
20221205 19:22:05,0.72
20221205 19:22:05,0.82
20221205 19:22:05,3
20221205 19:22:05,1.41
20221205 19:22:06,2.54
20221205 19:22:06,0.85
20221205 19:22:06,1.58
20221205 19:22:06,1.29
20221205 19:22:06,0.9
20221205 19:22:06,7.07
20221205 19:22:06,2.67
20221205 19:22:06,9.51
20221205 19:22:06,0.35
20221205 19:22:06,0.74
20221205 19:22:06,0.37
20221205 19:22:06,2.21
20221205 19:22:06,0.8
20221205 19:22:06,2.5
20221205 19:22:06,1.78
20221205 19:22:06,0.58
20221205 19:22:06,1.9
20221205 19:22:06,0.41
20221205 19:22:06,0.44
20221205 19:22:07,3.23
20221205 19:22:07,2.07
20221205 19:22:07,2.12
20221205 19:22:07,2.45
20221205 19:22:07,0.58
20221205 19:22:07,2.73
20221205 19:22:07,2.04
20221205 19:22:07,0.45
20221205 19:22:07,0.19
20221205 19:22:07,13.08
20221205 19:22:07,2.41
20221205 19:22:07,1.05
20221205 19:22:07,1.17
20221205 19:22:07,2.59
20221205 19:22:07,2.65
20221205 19:22:07,3.25
20221205 19:22:07,5.38
20221205 19:22:07,4.33
20221205 19:22:07,0.76
20221205 19:22:07,6.42
20221205 19:22:07,0.56
20221205 19:22:07,1.74
20221205 19:22:07,2.01
20221205 19:22:08,2.17
20221205 19:22:08,4.24
20221205 19:22:08,0.8
20221205 19:22:08,7.05
20221205 19:22:08,0.83
20221205 19:22:08,1.31
20221205 19:22:08,1.84
20221205 19:22:08,5.65
20221205 19:22:08,2.91
20221205 19:22:08,0.53
20221205 19:22:08,4.82
20221205 19:22:08,1.74
20221205 19:22:08,3.39
20221205 19:22:08,1.6
20221205 19:22:08,3.68
20221205 19:22:08,1.22
20221205 19:22:08,5.96
20221205 19:22:08,0.48
20221205 19:22:08,2.9
20221205 19:22:08,0.33
20221205 19:22:09,0.87
20221205 19:22:09,3.8
20221205 19:22:09,2.65
20221205 19:22:09,1.47
20221205 19:22:09,5.78
20221205 19:22:09,2.08
20221205 19:22:09,1.1
20221205 19:22:09,0.11
20221205 19:22:09,1.73
20221205 19:22:09,2.61
20221205 19:22:09,3.71
20221205 19:22:09,0.63
20221205 19:22:09,3.23
20221205 19:22:09,1.51
20221205 19:22:09,1.57
20221205 19:22:09,0.29
20221205 19:22:09,1.61
20221205 19:22:09,2.41
20221205 19:22:09,2.88
20221205 19:22:09,3.35
20221205 19:22:09,1.56
20221205 19:22:09,13.71
20221205 19:22:09,3.54
20221205 19:22:10,1.15
